STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-01,0,",,E",,,56,"H,,S",59,",,E",53,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-02,0,",,E",,,56,"H,,S",65,",,E",50,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-03,0,",,E",,,58,"H,,S",67,",,E",53,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-04,0,",,E",,,57,"H,,S",66,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-05,0,",,E",,,52,"H,,S",60,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-06,0,",,E",,,53,"H,,S",61,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-07,0,",,E",,,53,"H,,S",62,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-08,0,",,E",,,,,63,",,E",39,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-09,0,",,E",,,,,65,",,E",39,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-10,0,",,E",,,,,66,",,E",38,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-11,0.01,",,E",,,,,67,",,E",41,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-12,0.01,",,E",,,,,66,",,E",43,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-13,0,",,E",,,,,74,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-14,0,",,E",,,,,73,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-15,0,",,E",,,,,73,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-16,0.19,",,E",,,,,71,",,E",55,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-17,0.01,",,E",,,,,69,",,E",56,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-18,0,",,E",,,,,71,",,E",53,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-19,0.34,",,E",,,,,62,",,E",54,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-20,0.02,",,E",,,,,65,",,E",53,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-21,0,",,E",,,,,73,",,E",47,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-22,0,",,E",,,,,72,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-23,0.01,",,E",,,,,71,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-24,0.08,",,E",,,,,70,",,E",49,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-25,0,",,E",,,,,69,",,E",58,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-26,0.08,",,E",,,,,71,",,E",58,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-27,1.24,",,E",,,,,61,",,E",55,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-28,0,",,E",,,,,63,",,E",53,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-29,0.01,",,E",,,56,"H,,S",66,",,E",43,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-04-30,0,",,E",,,58,"H,,S",70,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-01,0.03,",,E",,,61,"H,,S",66,",,E",57,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-02,0,",,E",,,65,"H,,S",73,",,E",54,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-03,0,",,E",,,69,"H,,S",78,",,E",60,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-04,0,",,E",,,70,"H,,S",79,",,E",62,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-05,0,",,E",,,67,"H,,S",76,",,E",61,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-06,0,",,E",,,69,"H,,S",80,",,E",56,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-07,0,",,E",,,65,"H,,S",75,",,E",57,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-08,0,",,E",,,65,"H,,S",74,",,E",52,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-09,0,",,E",,,70,"H,,S",80,",,E",60,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-10,0,",,E",,,71,"H,,S",82,",,E",61,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-05-11,0,",,E",,,67,"H,,S",80,",,E",55,",,E"
