STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-12,0,",,E",,,,,72,",,E",46,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-13,0,",,E",,,,,73,",,E",48,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-14,0,",,E",,,,,76,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-15,0,",,E",,,,,79,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-16,0.01,",,E",,,,,69,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-17,0.24,",,E",,,,,64,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-18,0.01,",,E",,,,,63,",,E",53,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-19,0.38,",,E",,,,,54,",,E",42,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-20,0,",,E",,,,,68,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-21,0,",,E",,,,,72,",,E",45,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-22,0,",,E",,,,,77,",,E",48,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-23,0,",,E",,,,,73,",,E",52,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-24,0,",,E",,,,,73,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-25,0.47,",,E",,,,,66,",,E",57,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-26,0.12,",,E",,,,,70,",,E",54,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-27,0.66,",,E",,,,,65,",,E",53,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-28,0,",,E",,,,,56,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-29,0,",,E",,,52,"H,,S",61,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-30,0.05,",,E",,,57,"H,,S",68,",,E",45,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-01,0.43,",,E",,,58,"H,,S",60,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-02,0.24,",,E",,,62,"H,,S",68,",,E",55,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-03,0.67,",,E",,,66,"H,,S",74,",,E",59,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-04,0,",,E",,,68,"H,,S",74,",,E",59,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-05,0.02,",,E",,,69,"H,,S",75,",,E",62,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-06,0,",,E",,,62,"H,,S",70,",,E",52,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-07,0,",,E",,,58,"H,,S",66,",,E",47,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-08,0.29,",,E",,,57,"H,,S",66,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-09,0,",,E",,,63,"H,,S",70,",,E",57,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-10,0,",,E",,,63,"H,,S",74,",,E",50,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-11,0,",,E",,,68,"H,,S",83,",,E",56,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-12,0,",,E",,,71,"H,,S",84,",,E",61,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-13,0,",,E",,,71,"H,,S",85,",,E",60,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-14,0.35,",,E",,,64,"H,,S",72,",,E",58,",I,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-05-15,0.21,",,E",,,53,"H,,S",54,",I,E",48,",,E"
