"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-03","0.08",",,E",,,"42","H,,S","52",",,E","36",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-04","0.00",",,E",,,"40","H,,S","48",",,E","31",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-05","0.00",",,E",,,"43","H,,S","53",",,E","32",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-06","0.00",",,E",,,"41","H,,S","55",",,E","29",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-07","0.00",",,E",,,"44","H,,S","59",",,E","30",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-08","0.00",",,E",,,"49","H,,S","68",",,E","33",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-09","0.00",",,E",,,"49","H,,S","55",",,E","43",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-10","0.00",",,E",,,"49","H,,S","54",",,E","44",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-11","0.00",",,E",,,"48","H,,S","57",",,E","41",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-12","0.00",",,E",,,"47","H,,S","58",",,E","37",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-13","0.00",",,E",,,"45","H,,S","53",",,E","34",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-14","0.00",",,E",,,"44","H,,S","51",",,E","36",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-15","0.00",",,E",,,"43","H,,S","46",",,E","41",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-16","0.00",",,E",,,"46","H,,S","56",",,E","35",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-17","0.00",",,E",,,"50","H,,S","65",",,E","33",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-18","0.00",",,E",,,"51","H,,S","61",",,E","42",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-19","0.00",",,E",,,"44","H,,S","46",",,E","41",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-20","0.00",",,E",,,"46","H,,S","53",",,E","42",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-21","0.00",",,E",,,"43","H,,S","51",",,E","37",",,E"
